"","time","S","I","R","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"130",130,5.9,0.7,1000.4,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0.1,0.1,0.2,0.1,0.1,0,0,0,0.1,0,109.3,101.4,101,84.7,100.4,88.4,108.4,101.1,98,107.7
"131",131,5.9,0.5,1000.6,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.2,0,0.1,0,0,0,0.1,0,109.4,101.4,101,84.8,100.4,88.4,108.4,101.1,98,107.7
"132",132,5.9,0.4,1000.7,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.2,0,0.1,0,0,0,0,0,109.4,101.4,101,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"133",133,5.9,0.4,1000.7,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.2,0,0.1,0,0,0,0,0,109.4,101.4,101,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"134",134,5.9,0.4,1000.7,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.2,0,0.1,0,0,0,0,0,109.4,101.4,101,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"135",135,5.9,0.3,1000.8,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,109.4,101.4,101.1,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"136",136,5.9,0.3,1000.8,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,109.4,101.4,101.1,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"137",137,5.9,0.3,1000.8,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,109.4,101.4,101.1,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"138",138,5.9,0.3,1000.8,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0.1,0,0.1,0,0,0,0,0,109.4,101.4,101.1,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"139",139,5.9,0.2,1000.9,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0,0,0.1,0,0,0,0,0,109.4,101.4,101.2,84.8,100.4,88.4,108.4,101.1,98.1,107.7
"140",140,5.9,0.2,1000.9,0.6,0.5,0.8,0.2,0.5,0.6,0.6,0.9,0.9,0.3,0,0.1,0,0,0.1,0,0,0,0,0,109.4,101.4,101.2,84.8,100.4,88.4,108.4,101.1,98.1,107.7
