"","time","S","I","R"
"1",1,3166968,31990,0
"2",2,3161207,35535,2216
"3",3,3154969,39342,4647
"4",4,3148140,43491,7327
"5",5,3140549,48073,10336
"6",6,3132160,53085,13713
"7",7,3122948,58649,17361
"8",8,3112538,64972,21448
"9",9,3101110,71856,25992
"10",10,3088592,79423,30943
"11",11,3074924,87618,36416
"12",12,3060046,96487,42425
"13",13,3043524,106351,49083
"14",14,3025362,117155,56441
"15",15,3006049,128528,64381
"16",16,2984410,141430,73118
"17",17,2961050,155122,82786
"18",18,2935586,169876,93496
"19",19,2907819,185741,105398
"20",20,2878110,202509,118339
"21",21,2845842,220915,132201
"22",22,2810873,240705,147380
"23",23,2773311,261639,164008
"24",24,2733191,283576,182191
"25",25,2690182,306991,201785
"26",26,2644662,331279,223017
"27",27,2596229,356998,245731
"28",28,2545204,383315,270439
"29",29,2491371,410732,296855
"30",30,2434790,438761,325407
"31",31,2375974,467068,355916
"32",32,2315006,495873,388079
"33",33,2252151,524579,422228
"34",34,2187370,553413,458175
"35",35,2120770,581651,496537
"36",36,2052771,609702,536485
"37",37,1983935,636629,578394
"38",38,1914493,662230,622235
"39",39,1845243,685820,667895
"40",40,1776254,707321,715383
"41",41,1707403,727362,764193
"42",42,1639375,745218,814365
"43",43,1572694,760500,865764
"44",44,1506874,773670,918414
"45",45,1442835,784523,971600
"46",46,1380797,792594,1025567
"47",47,1320965,797510,1080483
"48",48,1262873,800502,1135583
"49",49,1207795,800357,1190806
"50",50,1154889,798252,1245817
"51",51,1104709,793439,1300810
"52",52,1057106,786503,1355349
"53",53,1011791,777921,1409246
"54",54,968908,767086,1462964
"55",55,928580,754702,1515676
"56",56,890145,741280,1567533
"57",57,854138,726402,1618418
"58",58,820082,710521,1668355
"59",59,788409,693339,1717210
"60",60,758503,675657,1764798
"61",61,730310,657286,1811362
"62",62,703897,638009,1857052
"63",63,679214,618767,1900977
"64",64,656257,599162,1943539
"65",65,634611,579658,1984689
"66",66,614529,559684,2024745
"67",67,595612,539868,2063478
"68",68,577862,520600,2100496
"69",69,561376,500997,2136585
"70",70,545868,482005,2171085
"71",71,531436,463312,2204210
"72",72,517906,444770,2236282
"73",73,505046,426930,2266982
"74",74,493264,409382,2296312
"75",75,482068,392478,2324412
"76",76,471729,375953,2351276
"77",77,461937,359630,2377391
"78",78,452843,343777,2402338
"79",79,444185,328818,2425955
"80",80,436163,314471,2448324
"81",81,428360,300427,2470171
"82",82,421251,286943,2490764
"83",83,414505,274123,2510330
"84",84,408142,261739,2529077
"85",85,402240,249701,2547017
"86",86,396637,238285,2564036
"87",87,391330,227272,2580356
"88",88,386383,216565,2596010
"89",89,381700,206206,2611052
"90",90,377460,196323,2625175
"91",91,373345,186815,2638798
"92",92,369496,177687,2651775
"93",93,365776,169194,2663988
"94",94,362359,160976,2675623
"95",95,359092,153023,2686843
"96",96,356057,145510,2697391
"97",97,353188,138236,2707534
"98",98,350453,131253,2717252
"99",99,347880,124817,2726261
"100",100,345495,118752,2734711
"101",101,343224,112809,2742925
"102",102,341066,107355,2750537
"103",103,339003,102068,2757887
"104",104,337077,96943,2764938
"105",105,335220,91997,2771741
"106",106,333533,87331,2778094
"107",107,331925,82996,2784037
"108",108,330448,78912,2789598
"109",109,328934,74956,2795068
"110",110,327588,71181,2800189
"111",111,326280,67600,2805078
"112",112,325078,64242,2809638
"113",113,323919,60979,2814060
"114",114,322777,57965,2818216
"115",115,321753,55045,2822160
"116",116,320773,52247,2825938
"117",117,319852,49435,2829671
"118",118,318989,46957,2833012
"119",119,318156,44560,2836242
"120",120,317395,42273,2839290
"121",121,316660,40103,2842195
"122",122,315930,38148,2844880
"123",123,315280,36097,2847581
"124",124,314647,34297,2850014
"125",125,314036,32499,2852423
"126",126,313458,30907,2854593
"127",127,312917,29472,2856569
"128",128,312362,27996,2858600
"129",129,311852,26549,2860557
"130",130,311409,25136,2862413
"131",131,310999,23811,2864148
"132",132,310611,22522,2865825
"133",133,310233,21382,2867343
"134",134,309863,20297,2868798
"135",135,309506,19247,2870205
"136",136,309203,18221,2871534
"137",137,308870,17289,2872799
"138",138,308590,16359,2874009
"139",139,308317,15446,2875195
"140",140,308049,14679,2876230
