"","time","S","I","R"
"1",1,9820,99,0
"2",2,9802.7,109.2,7.1
"3",3,9786.9,118.4,13.7
"4",4,9761.3,135.9,21.8
"5",5,9738.3,149.5,31.2
"6",6,9715.3,160.3,43.4
"7",7,9686.7,178.5,53.8
"8",8,9656.5,195.6,66.9
"9",9,9624.9,215.3,78.8
"10",10,9588.3,236.9,93.8
"11",11,9550.3,257.9,110.8
"12",12,9507.2,282.5,129.3
"13",13,9458.9,310.1,150
"14",14,9403.8,345.6,169.6
"15",15,9347.2,377.6,194.2
"16",16,9284.4,413.8,220.8
"17",17,9214.4,453.5,251.1
"18",18,9139.1,499,280.9
"19",19,9058.1,543.5,317.4
"20",20,8973.3,591.1,354.6
"21",21,8876.9,650,392.1
"22",22,8775.9,705.8,437.3
"23",23,8659.7,769,490.3
"24",24,8540.5,836.4,542.1
"25",25,8414,905.4,599.6
"26",26,8276.9,978.4,663.7
"27",27,8128,1060.1,730.9
"28",28,7977.1,1132.4,809.5
"29",29,7819.3,1210.4,889.3
"30",30,7656.4,1288.7,973.9
"31",31,7478.6,1377.8,1062.6
"32",32,7295.7,1465.1,1158.2
"33",33,7105.2,1554.5,1259.3
"34",34,6913.7,1634.3,1371
"35",35,6708.4,1721.8,1488.8
"36",36,6503.1,1808.9,1607
"37",37,6298.4,1888.3,1732.3
"38",38,6091.4,1964.7,1862.9
"39",39,5886.8,2033.8,1998.4
"40",40,5679.1,2103.3,2136.6
"41",41,5471.1,2166.1,2281.8
"42",42,5261.6,2221.4,2436
"43",43,5052.5,2275.1,2591.4
"44",44,4856,2315.5,2747.5
"45",45,4662.2,2355.1,2901.7
"46",46,4461.3,2392.6,3065.1
"47",47,4272.5,2422.8,3223.7
"48",48,4087.3,2439.5,3392.2
"49",49,3918.6,2436.3,3564.1
"50",50,3749.8,2436.4,3732.8
"51",51,3592.5,2427.6,3898.9
"52",52,3438.4,2410.4,4070.2
"53",53,3293.4,2392,4233.6
"54",54,3155,2367.7,4396.3
"55",55,3025.2,2340.6,4553.2
"56",56,2899.1,2305.4,4714.5
"57",57,2784.2,2256.9,4877.9
"58",58,2676.2,2210.3,5032.5
"59",59,2571,2161.4,5186.6
"60",60,2474.2,2111.4,5333.4
"61",61,2380.3,2059.4,5479.3
"62",62,2292.9,2000.6,5625.5
"63",63,2212.3,1945.6,5761.1
"64",64,2141,1886.9,5891.1
"65",65,2070.2,1829.6,6019.2
"66",66,2005.1,1767.9,6146
"67",67,1941.2,1707,6270.8
"68",68,1885.7,1644.2,6389.1
"69",69,1833.2,1582.6,6503.2
"70",70,1785.4,1521,6612.6
"71",71,1739,1463.1,6716.9
"72",72,1691.1,1413.9,6814
"73",73,1651.7,1357.5,6909.8
"74",74,1612.8,1299.9,7006.3
"75",75,1571.5,1249.9,7097.6
"76",76,1535.5,1193.2,7190.3
"77",77,1501,1144.8,7273.2
"78",78,1472.1,1098.7,7348.2
"79",79,1443.2,1053.4,7422.4
"80",80,1416.2,1007.4,7495.4
"81",81,1389.9,964.7,7564.4
"82",82,1367.9,922.8,7628.3
"83",83,1347.6,878.9,7692.5
"84",84,1327.1,839.8,7752.1
"85",85,1308,804.8,7806.2
"86",86,1289.7,770.8,7858.5
"87",87,1274.2,733.8,7911
"88",88,1260.1,698.4,7960.5
"89",89,1244.2,665.9,8008.9
"90",90,1229.6,635,8054.4
"91",91,1215.6,601.5,8101.9
"92",92,1202,574.3,8142.7
"93",93,1189.6,548.7,8180.7
"94",94,1179.2,522.7,8217.1
"95",95,1169,497.1,8252.9
"96",96,1160.1,472.9,8286
"97",97,1149.6,448.1,8321.3
"98",98,1140.4,429.3,8349.3
"99",99,1132.7,406.2,8380.1
"100",100,1124.3,386.6,8408.1
"101",101,1116.5,367.6,8434.9
"102",102,1109.4,350.4,8459.2
"103",103,1101.5,334.5,8483
"104",104,1095.8,316.6,8506.6
"105",105,1090.3,300,8528.7
"106",106,1083.6,287.8,8547.6
"107",107,1076.9,275.3,8566.8
"108",108,1071.4,259.1,8588.5
"109",109,1066.9,245.7,8606.4
"110",110,1061.6,234.4,8623
"111",111,1058,222,8639
"112",112,1053.6,209.8,8655.6
"113",113,1048.9,200.7,8669.4
"114",114,1045.4,189.9,8683.7
"115",115,1042.1,180.9,8696
"116",116,1039.4,172.9,8706.7
"117",117,1036.1,163.2,8719.7
"118",118,1033.4,156.3,8729.3
"119",119,1031.5,146.9,8740.6
"120",120,1027.5,140.1,8751.4
"121",121,1025.3,131.7,8762
"122",122,1023.7,125.1,8770.2
"123",123,1021.3,119,8778.7
"124",124,1019.6,111.4,8788
"125",125,1018.2,105,8795.8
"126",126,1016.1,101,8801.9
"127",127,1013.8,97.3,8807.9
"128",128,1012,91.1,8815.9
"129",129,1010.9,86.6,8821.5
"130",130,1008.8,82.9,8827.3
"131",131,1007.4,78.6,8833
"132",132,1006.2,75,8837.8
"133",133,1004.7,70.2,8844.1
"134",134,1002.8,67.4,8848.8
"135",135,1001.9,64.2,8852.9
"136",136,1001,62,8856
"137",137,999.3,59.9,8859.8
"138",138,998.1,57,8863.9
"139",139,997.3,55.1,8866.6
"140",140,996.7,52.1,8870.2
