"","time","S","I","R"
"1",1,9924,100,0
"2",2,9906.3,111.1,6.6
"3",3,9884.3,125.6,14.1
"4",4,9863.5,135.7,24.8
"5",5,9840.2,149.3,34.5
"6",6,9813.6,166.6,43.8
"7",7,9786,182.6,55.4
"8",8,9753.6,199.6,70.8
"9",9,9718,219.7,86.3
"10",10,9678.8,241.4,103.8
"11",11,9637.5,269.9,116.6
"12",12,9590.1,299.1,134.8
"13",13,9536.1,329.7,158.2
"14",14,9478.1,368.1,177.8
"15",15,9416.5,404.6,202.9
"16",16,9351.5,438.3,234.2
"17",17,9282.6,476.4,265
"18",18,9205.2,521.2,297.6
"19",19,9119.3,570.9,333.8
"20",20,9021.4,630.2,372.4
"21",21,8922.7,683.7,417.6
"22",22,8805.8,749.5,468.7
"23",23,8683.9,822.6,517.5
"24",24,8557.8,889.8,576.4
"25",25,8422.2,968.9,632.9
"26",26,8281.2,1043.1,699.7
"27",27,8128.2,1125,770.8
"28",28,7964.5,1212.5,847
"29",29,7791.4,1303.5,929.1
"30",30,7614,1391.8,1018.2
"31",31,7429.6,1475.5,1118.9
"32",32,7239.5,1557.7,1226.8
"33",33,7045.3,1644.1,1334.6
"34",34,6846.5,1728.9,1448.6
"35",35,6639.5,1816.8,1567.7
"36",36,6417,1913.5,1693.5
"37",37,6191.4,2006,1826.6
"38",38,5975.8,2086.7,1961.5
"39",39,5753.9,2164.9,2105.2
"40",40,5544.2,2220.2,2259.6
"41",41,5331.5,2278.6,2413.9
"42",42,5119.7,2329.6,2574.7
"43",43,4909.3,2375.3,2739.4
"44",44,4710,2415.7,2898.3
"45",45,4522.4,2435.4,3066.2
"46",46,4326,2460,3238
"47",47,4149.4,2460.3,3414.3
"48",48,3964.5,2475.3,3584.2
"49",49,3797.8,2466,3760.2
"50",50,3639.9,2450.7,3933.4
"51",51,3484.7,2439.1,4100.2
"52",52,3334.1,2423.4,4266.5
"53",53,3198.3,2385.5,4440.2
"54",54,3064.4,2358.6,4601
"55",55,2936.1,2320,4767.9
"56",56,2820.1,2281.1,4922.8
"57",57,2712,2229.1,5082.9
"58",58,2607.7,2182.6,5233.7
"59",59,2506.2,2133,5384.8
"60",60,2413.6,2082.8,5527.6
"61",61,2325.5,2023.3,5675.2
"62",62,2246.3,1965.4,5812.3
"63",63,2168.3,1911.3,5944.4
"64",64,2097.4,1855.2,6071.4
"65",65,2029,1799.1,6195.9
"66",66,1965.4,1733,6325.6
"67",67,1904.6,1673.3,6446.1
"68",68,1845.9,1623,6555.1
"69",69,1792.2,1564.4,6667.4
"70",70,1740.8,1501.8,6781.4
"71",71,1697.5,1442.8,6883.7
"72",72,1656.1,1384.1,6983.8
"73",73,1610.7,1331.1,7082.2
"74",74,1574.3,1281.7,7168
"75",75,1540.5,1225.7,7257.8
"76",76,1507.4,1173.5,7343.1
"77",77,1475.4,1122.2,7426.4
"78",78,1447.5,1073.9,7502.6
"79",79,1417.4,1022.4,7584.2
"80",80,1392.3,981.6,7650.1
"81",81,1368.4,940.7,7714.9
"82",82,1345.9,898.6,7779.5
"83",83,1324.5,863.8,7835.7
"84",84,1306.5,821.3,7896.2
"85",85,1286.7,785.8,7951.5
"86",86,1266.9,752.3,8004.8
"87",87,1247,721.3,8055.7
"88",88,1229.8,688.2,8106
"89",89,1213.9,654.1,8156
"90",90,1200.5,623,8200.5
"91",91,1188.1,591.7,8244.2
"92",92,1176.9,561.5,8285.6
"93",93,1165.6,531.4,8327
"94",94,1154.5,507.7,8361.8
"95",95,1143.9,484.6,8395.5
"96",96,1134.5,460.9,8428.6
"97",97,1125.2,439.4,8459.4
"98",98,1116.2,417.9,8489.9
"99",99,1108.6,396.1,8519.3
"100",100,1098.8,377.8,8547.4
"101",101,1092.6,360,8571.4
"102",102,1085.2,342,8596.8
"103",103,1078.8,324,8621.2
"104",104,1074,305.6,8644.4
"105",105,1067.9,292.4,8663.7
"106",106,1063.3,277.1,8683.6
"107",107,1057,264.1,8702.9
"108",108,1052.1,250,8721.9
"109",109,1048,235.6,8740.4
"110",110,1045,222,8757
"111",111,1040.6,212.8,8770.6
"112",112,1035.9,202.8,8785.3
"113",113,1031.6,195.5,8796.9
"114",114,1028,186.2,8809.8
"115",115,1024.1,176.7,8823.2
"116",116,1020.9,167.2,8835.9
"117",117,1017.7,159.2,8847.1
"118",118,1014.9,150.3,8858.8
"119",119,1012.5,140,8871.5
"120",120,1009.1,133.1,8881.8
"121",121,1006.6,126.3,8891.1
"122",122,1004.6,118.6,8900.8
"123",123,1002.4,113,8908.6
"124",124,1001,106.3,8916.7
"125",125,999.9,100.6,8923.5
"126",126,997.8,95.3,8930.9
"127",127,996.1,90.2,8937.7
"128",128,994.7,84.2,8945.1
"129",129,993.2,81.1,8949.7
"130",130,991.8,77,8955.2
"131",131,990.3,73.2,8960.5
"132",132,988.6,69.8,8965.6
"133",133,987.1,66.3,8970.6
"134",134,986.1,62.9,8975
"135",135,984.6,60.2,8979.2
"136",136,983.6,57.3,8983.1
"137",137,982.4,54.7,8986.9
"138",138,981.9,51.8,8990.3
"139",139,981,49.1,8993.9
"140",140,980.3,46.1,8997.6
