"","time","S","I","R"
"1",1,198020,2000,0
"2",2,197665.6,2220.2,134.2
"3",3,197271,2466.2,282.8
"4",4,196845.8,2726.4,447.8
"5",5,196362.6,3025.9,631.5
"6",6,195841.7,3339.6,838.7
"7",7,195260.3,3701.6,1058.1
"8",8,194622.2,4085.5,1312.3
"9",9,193899.9,4526.1,1594
"10",10,193136,4973.2,1910.8
"11",11,192279.5,5485.8,2254.7
"12",12,191339.1,6047,2633.9
"13",13,190313.1,6662.8,3044.1
"14",14,189187.8,7333.9,3498.3
"15",15,187946,8071,4003
"16",16,186597.7,8859.7,4562.6
"17",17,185161,9704.9,5154.1
"18",18,183548.7,10660,5811.3
"19",19,181809.6,11656.1,6554.3
"20",20,179933.7,12732.3,7354
"21",21,177908.2,13875.1,8236.7
"22",22,175714.9,15109,9196.1
"23",23,173325.2,16459.7,10235.1
"24",24,170788.8,17878.6,11352.6
"25",25,168084.3,19332,12603.7
"26",26,165174.3,20908.1,13937.6
"27",27,162139.9,22493,15387.1
"28",28,158921.8,24164.3,16933.9
"29",29,155503.1,25912.9,18604
"30",30,151927.6,27692.7,20399.7
"31",31,148239.1,29469.1,22311.8
"32",32,144378.5,31284.5,24357
"33",33,140400,33098.4,26521.6
"34",34,136336,34872.8,28811.2
"35",35,132129.4,36647.7,31242.9
"36",36,127892.8,38364.8,33762.4
"37",37,123632.3,39994.8,36392.9
"38",38,119282.2,41561.4,39176.4
"39",39,114943.3,43050.4,42026.3
"40",40,110615.7,44418.2,44986.1
"41",41,106316.9,45665.3,48037.8
"42",42,102088.3,46735.2,51196.5
"43",43,97938,47672.8,54409.2
"44",44,93890.4,48423,57706.6
"45",45,89933.9,49045.1,61041
"46",46,86108.8,49487.8,64423.4
"47",47,82381.7,49780.4,67857.9
"48",48,78795.8,49896.5,71327.7
"49",49,75361.5,49911.3,74747.2
"50",50,72094.4,49753,78172.6
"51",51,68967,49458.3,81594.7
"52",52,65964.1,49019.6,85036.3
"53",53,63163.1,48420.3,88436.6
"54",54,60498.4,47754.4,91767.2
"55",55,57991.1,46981.8,95047.1
"56",56,55612.2,46142.7,98265.1
"57",57,53336.8,45234.6,101448.6
"58",58,51216.6,44228,104575.4
"59",59,49224.5,43183,107612.5
"60",60,47365.6,42076.6,110577.8
"61",61,45622,40928,113470
"62",62,44001.6,39699.3,116319.1
"63",63,42478.3,38483.5,119058.2
"64",64,41033.8,37282.6,121703.6
"65",65,39698.2,36024.6,124297.2
"66",66,38428.9,34789.1,126802
"67",67,37255.6,33569.1,129195.3
"68",68,36132.9,32393.4,131493.7
"69",69,35093.9,31224,133702.1
"70",70,34137.1,30019.4,135863.5
"71",71,33240.3,28866.9,137912.8
"72",72,32408.3,27711,139900.7
"73",73,31622.6,26584,141813.4
"74",74,30856.3,25517.3,143646.4
"75",75,30153.3,24449.6,145417.1
"76",76,29500.9,23415.2,147103.9
"77",77,28890.3,22407.6,148722.1
"78",78,28321.2,21432.4,150266.4
"79",79,27781.6,20493.6,151744.8
"80",80,27291.1,19579.6,153149.3
"81",81,26813.8,18702.6,154503.6
"82",82,26371.3,17866,155782.7
"83",83,25965.1,17040.6,157014.3
"84",84,25572.1,16267.1,158180.8
"85",85,25209.4,15517.9,159292.7
"86",86,24871.8,14792.2,160356
"87",87,24549.5,14098.1,161372.4
"88",88,24238.1,13441.6,162340.3
"89",89,23955.8,12792.3,163271.9
"90",90,23680.7,12184.8,164154.5
"91",91,23425.8,11605.9,164988.3
"92",92,23176.9,11059.4,165783.7
"93",93,22949.5,10513.3,166557.2
"94",94,22735.8,9984,167300.2
"95",95,22539,9489.1,167991.9
"96",96,22352.1,9032.8,168635.1
"97",97,22176.2,8586.7,169257.1
"98",98,22002.9,8170.9,169846.2
"99",99,21843.2,7777.5,170399.3
"100",100,21688.7,7398.2,170933.1
"101",101,21554.2,7016,171449.8
"102",102,21418.3,6677.7,171924
"103",103,21291.9,6351.8,172376.3
"104",104,21166.9,6029.2,172823.9
"105",105,21048,5730.8,173241.2
"106",106,20939.1,5444.7,173636.2
"107",107,20834.3,5170.5,174015.2
"108",108,20732.1,4921.4,174366.5
"109",109,20645.3,4656.9,174717.8
"110",110,20556.4,4422,175041.6
"111",111,20473.4,4211.6,175335
"112",112,20397.8,3998.4,175623.8
"113",113,20330.5,3778.2,175911.3
"114",114,20261.9,3582.1,176176
"115",115,20201.8,3385.7,176432.5
"116",116,20141.6,3205.2,176673.2
"117",117,20084.9,3042.1,176893
"118",118,20027.2,2893.5,177099.3
"119",119,19971.8,2744.1,177304.1
"120",120,19924.4,2599.7,177495.9
"121",121,19878,2466.1,177675.9
"122",122,19834.2,2336.7,177849.1
"123",123,19794.3,2211.6,178014.1
"124",124,19754.3,2097.2,178168.5
"125",125,19717.6,1987.5,178314.9
"126",126,19682.5,1884.1,178453.4
"127",127,19649.7,1789.2,178581.1
"128",128,19620.1,1696,178703.9
"129",129,19590.6,1608.2,178821.2
"130",130,19564.6,1526.2,178929.2
"131",131,19539,1448.5,179032.5
"132",132,19514.8,1372.3,179132.9
"133",133,19489.8,1306.4,179223.8
"134",134,19465.2,1241.1,179313.7
"135",135,19443.1,1177.2,179399.7
"136",136,19421.5,1116.4,179482.1
"137",137,19402,1059.6,179558.4
"138",138,19384.5,1006.2,179629.3
"139",139,19366.1,960.4,179693.5
"140",140,19348.3,911.7,179760
