"","time","S","I","R"
"1",1,198118,2001,0
"2",2,197770.5,2205.1,143.4
"3",3,197374.5,2445.1,299.4
"4",4,196952.7,2699,467.3
"5",5,196476.3,2988.7,654
"6",6,195946.8,3313.9,858.3
"7",7,195366.7,3665.1,1087.2
"8",8,194725.6,4056.9,1336.5
"9",9,194018.1,4480.3,1620.6
"10",10,193215.8,4966.6,1936.6
"11",11,192358.4,5482.8,2277.8
"12",12,191419.9,6058,2641.1
"13",13,190405.1,6656.2,3057.7
"14",14,189275.2,7329.1,3514.7
"15",15,188058.1,8033.3,4027.6
"16",16,186719.8,8812.7,4586.5
"17",17,185254.5,9677.1,5187.4
"18",18,183677.3,10586.7,5855
"19",19,181939.5,11607.4,6572.1
"20",20,180055.5,12690.6,7372.9
"21",21,178038.9,13852.9,8227.2
"22",22,175834.4,15106.5,9178.1
"23",23,173467,16423.9,10228.1
"24",24,170949.9,17807.1,11362
"25",25,168246.2,19306,12566.8
"26",26,165361.9,20866.6,13890.5
"27",27,162309.8,22486.7,15322.5
"28",28,159110.7,24132.3,16876
"29",29,155699.8,25888.7,18530.5
"30",30,152146.4,27652,20320.6
"31",31,148458,29440.9,22220.1
"32",32,144604.4,31267.2,24247.4
"33",33,140678.7,33023.8,26416.5
"34",34,136567.2,34872.5,28679.3
"35",35,132371.7,36657.3,31090
"36",36,128114,38380.6,33624.4
"37",37,123823.4,40028.7,36266.9
"38",38,119502.5,41629.7,38986.8
"39",39,115123.7,43102.9,41892.4
"40",40,110803.8,44423.2,44892
"41",41,106505.7,45638.7,47974.6
"42",42,102255.5,46730.6,51132.9
"43",43,98081.4,47658.1,54379.5
"44",44,93983,48467.4,57668.6
"45",45,90031,49059.5,61028.5
"46",46,86172.8,49520.5,64425.7
"47",47,82441.5,49866.3,67811.2
"48",48,78828.1,50052.7,71238.2
"49",49,75372.5,50058.2,74688.3
"50",50,72077.7,49917,78124.3
"51",51,68951.6,49569.5,81597.9
"52",52,65935.1,49185.5,84998.4
"53",53,63106.6,48605.6,88406.8
"54",54,60416.3,47939.8,91762.9
"55",55,57881.2,47154.6,95083.2
"56",56,55519.3,46243.7,98356
"57",57,53273.1,45316.7,101529.2
"58",58,51178,44299.8,104641.2
"59",59,49181.7,43248.9,107688.4
"60",60,47323.1,42145.6,110650.3
"61",61,45569.9,40990.7,113558.4
"62",62,43928.3,39825.8,116364.9
"63",63,42393.2,38619.7,119106.1
"64",64,40973.7,37367.3,121778
"65",65,39629.2,36147.1,124342.7
"66",66,38370.2,34930.7,126818.1
"67",67,37194.5,33698.9,129225.6
"68",68,36099,32492.9,131527.1
"69",69,35075.3,31281.1,133762.6
"70",70,34109,30071.9,135938.1
"71",71,33204.3,28888.8,138025.9
"72",72,32350.1,27749.7,140019.2
"73",73,31563.4,26616.4,141939.2
"74",74,30826.5,25491.7,143800.8
"75",75,30135.2,24433.8,145550
"76",76,29490.5,23400.3,147228.2
"77",77,28873.4,22398.1,148847.5
"78",78,28309.6,21420,150389.4
"79",79,27766.1,20488.9,151864
"80",80,27269.2,19591.6,153258.2
"81",81,26791.8,18706.3,154620.9
"82",82,26342.2,17864.8,155912
"83",83,25931.2,17031.8,157156
"84",84,25536.2,16264.6,158318.2
"85",85,25169.9,15505.2,159443.9
"86",86,24824.7,14786.9,160507.4
"87",87,24510.5,14060.8,161547.7
"88",88,24193.9,13425.2,162499.9
"89",89,23902.1,12779.6,163437.3
"90",90,23632.4,12175.7,164310.9
"91",91,23374.6,11594.7,165149.7
"92",92,23143.4,11010.7,165964.9
"93",93,22924.1,10480.1,166714.8
"94",94,22711.1,9969.2,167438.7
"95",95,22502.1,9480.5,168136.4
"96",96,22319,9013.7,168786.3
"97",97,22137,8583.7,169398.3
"98",98,21966.9,8155,169997.1
"99",99,21809.3,7746.5,170563.2
"100",100,21664.6,7348.4,171106
"101",101,21526,6982,171611
"102",102,21391.7,6649.3,172078
"103",103,21269.6,6304.2,172545.2
"104",104,21148.2,5996.2,172974.6
"105",105,21039,5691.1,173388.9
"106",106,20930.4,5408,173780.6
"107",107,20830.4,5131.5,174157.1
"108",108,20737.7,4862.3,174519
"109",109,20650,4617.2,174851.8
"110",110,20564.8,4390,175164.2
"111",111,20487.4,4167.6,175464
"112",112,20401.4,3971.3,175746.3
"113",113,20330.4,3763.1,176025.5
"114",114,20262.7,3571.4,176284.9
"115",115,20197.9,3385,176536.1
"116",116,20142.6,3200.4,176776
"117",117,20086.9,3040,176992.1
"118",118,20032.7,2892.5,177193.8
"119",119,19977.6,2742.3,177399.1
"120",120,19933.1,2599,177586.9
"121",121,19884.5,2470.9,177763.6
"122",122,19844.3,2341.9,177932.8
"123",123,19804.9,2219.5,178094.6
"124",124,19768.5,2099,178251.5
"125",125,19732.4,2000.2,178386.4
"126",126,19699.1,1888.1,178531.8
"127",127,19666.2,1787.1,178665.7
"128",128,19634,1696,178789
"129",129,19609.2,1603.2,178906.6
"130",130,19584.8,1520.3,179013.9
"131",131,19556.1,1446.2,179116.7
"132",132,19529.1,1377.2,179212.7
"133",133,19503,1300.2,179315.8
"134",134,19481.5,1235.8,179401.7
"135",135,19460.9,1170.5,179487.6
"136",136,19438.8,1117.8,179562.4
"137",137,19420.3,1054.5,179644.2
"138",138,19401,1000.9,179717.1
"139",139,19385.1,948.4,179785.5
"140",140,19367.1,901.7,179850.2
