"","time","S","I","R","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20"
"112",112,1155.9,349.4,198514.7,57.2,58.3,53.7,54.3,62.4,61.6,53.9,53.4,60,55.2,56.2,61.3,59.7,61.5,56.5,56.1,54.5,59.6,59.3,61.2,18.2,20.5,18,16,18.1,18.7,17.3,15.8,17,17.5,16.7,16.9,18.3,16,17.8,18.6,16.8,19.1,15.3,16.8,9788.6,10005.2,9884.3,10000.7,10114.5,9968.7,9907.8,9758.8,9896,10019.3,9852.1,9872.8,10054,9784.5,9952.7,9992.3,9930.7,9937.3,9935.4,9859
"113",113,1154.8,328.4,198536.8,57.1,58.3,53.7,54.3,62.2,61.6,53.9,53.3,59.9,55.1,56.2,61.3,59.5,61.4,56.5,56,54.5,59.6,59.3,61.1,17,19.1,16.9,14.7,17,17.7,16.1,14.7,16,16.4,15.4,16.2,17.1,14.9,17.2,17.9,15.6,18.1,14.6,15.8,9789.9,10006.6,9885.4,10002,10115.8,9969.7,9909,9760,9897.1,10020.5,9853.4,9873.5,10055.4,9785.7,9953.3,9993.1,9931.9,9938.3,9936.1,9860.1
"114",114,1154.2,307,198558.8,57.1,58.3,53.6,54.3,62.2,61.5,53.9,53.3,59.8,55.1,56.2,61.3,59.3,61.4,56.5,56,54.5,59.5,59.3,61.1,15.9,17.6,15.9,13.9,16,16.7,14.9,14.1,14.9,15.1,13.9,14.7,16.5,14.1,16.2,16.6,14.5,17.5,13.4,14.6,9791,10008.1,9886.5,10002.8,10116.8,9970.8,9910.2,9760.6,9898.3,10021.8,9854.9,9875,10056.2,9786.5,9954.3,9994.4,9933,9939,9937.3,9861.3
"115",115,1153.6,286.5,198579.9,57,58.3,53.6,54.3,62.2,61.5,53.9,53.2,59.8,55.1,56.1,61.3,59.3,61.3,56.5,56,54.4,59.5,59.2,61.1,15.1,16.1,14.6,12.6,15,15.6,14.2,13.7,13.8,13.7,13.2,13.7,15.5,13.4,15.2,15,13.4,16.3,12.7,13.7,9791.9,10009.6,9887.8,10004.1,10117.8,9971.9,9910.9,9761.1,9899.4,10023.2,9855.7,9876,10057.2,9787.3,9955.3,9996,9934.2,9940.2,9938.1,9862.2
"116",116,1152.8,265.6,198601.6,56.9,58.2,53.5,54.3,62.2,61.4,53.9,53.2,59.8,55.1,56.1,61.3,59.2,61.3,56.5,56,54.2,59.4,59.2,61.1,14.5,15.4,13.6,11.6,13.9,14.9,13.4,12.8,12.6,12.5,11.9,12.9,13.5,12.2,14.1,13.3,12.3,15.5,11.9,12.8,9792.6,10010.4,9888.9,10005.1,10118.9,9972.7,9911.7,9762,9900.6,10024.4,9857,9876.8,10059.3,9788.5,9956.4,9997.7,9935.5,9941.1,9938.9,9863.1
"117",117,1152.4,246.5,198621.1,56.9,58.2,53.5,54.3,62.2,61.4,53.8,53.2,59.8,55.1,56.1,61.2,59.1,61.3,56.4,56,54.2,59.4,59.2,61.1,13.6,14.4,12.1,10.8,12.4,14.1,13,11.4,11.5,11.7,11.1,12.2,12.7,11.3,13.2,12.3,11.6,14.5,10.8,11.8,9793.5,10011.4,9890.4,10005.9,10120.4,9973.5,9912.2,9763.4,9901.7,10025.2,9857.8,9877.6,10060.2,9789.4,9957.4,9998.7,9936.2,9942.1,9940,9864.1
"118",118,1151.8,228.7,198639.5,56.9,58,53.4,54.3,62.1,61.4,53.8,53.2,59.8,55.1,56.1,61.2,59.1,61.3,56.4,56,54,59.4,59.2,61.1,13.1,14.2,11.6,10.3,12,12.3,11.8,10.1,10.4,11,10.4,11.1,12,10.5,12.1,11.5,10.9,12.8,9.8,10.8,9794,10011.8,9891,10006.4,10120.9,9975.3,9913.4,9764.7,9902.8,10025.9,9858.5,9878.7,10060.9,9790.2,9958.5,9999.5,9937.1,9943.8,9941,9865.1
"119",119,1151.5,210.1,198658.4,56.9,58,53.4,54.3,62.1,61.3,53.8,53.1,59.8,55.1,56.1,61.2,59.1,61.3,56.4,56,54,59.4,59.2,61,11.8,13.6,10.9,9.3,10.3,11.5,10.9,9.6,9.5,9.9,9.8,10.4,11.3,9.4,11.2,9.9,10.1,11.6,9,10.1,9795.3,10012.4,9891.7,10007.4,10122.6,9976.2,9914.3,9765.3,9903.7,10027,9859.1,9879.4,10061.6,9791.3,9959.4,10001.1,9937.9,9945,9941.8,9865.9
"120",120,1151.3,194.4,198674.3,56.9,58,53.4,54.3,62.1,61.3,53.8,53.1,59.8,55.1,56.1,61.2,59.1,61.3,56.4,56,53.9,59.4,59.2,60.9,10.8,13.1,10.1,8.7,9.6,10.3,9.4,8.4,8.2,8.9,8.8,9.9,10.3,9.1,10.9,9.1,9.7,10.7,8.7,9.7,9796.3,10012.9,9892.5,10008,10123.3,9977.4,9915.8,9766.5,9905,10028,9860.1,9879.9,10062.6,9791.6,9959.7,10001.9,9938.4,9945.9,9942.1,9866.4
"121",121,1150.9,182.6,198686.5,56.9,58,53.4,54.3,62.1,61.1,53.8,53.1,59.8,55.1,56.1,61.2,59.1,61.3,56.4,56,53.9,59.3,59.1,60.9,10,11.5,9.7,8.3,9,9.7,9,7.9,7.7,8.4,8.3,9.1,9.3,8.9,10.3,8.7,9,10.1,8.6,9.1,9797.1,10014.5,9892.9,10008.4,10123.9,9978.2,9916.2,9767,9905.5,10028.5,9860.6,9880.7,10063.6,9791.8,9960.3,10002.3,9939.1,9946.6,9942.3,9867
"122",122,1150.2,170.6,198699.2,56.9,58,53.4,54.3,62,60.9,53.7,53.1,59.8,55.1,56.1,61.1,59,61.3,56.4,56,53.9,59.3,59.1,60.8,9.4,10.8,9.2,7.7,8.4,9.5,8.9,7,7.2,7.7,7.4,8.8,9.4,8.5,9.4,7.2,8.5,9.5,7.8,8.3,9797.7,10015.2,9893.4,10009,10124.6,9978.6,9916.4,9767.9,9906,10029.2,9861.5,9881.1,10063.6,9792.2,9961.2,10003.8,9939.6,9947.2,9943.1,9867.9
"123",123,1150.1,157.5,198712.4,56.9,58,53.4,54.3,62,60.8,53.7,53.1,59.8,55.1,56.1,61.1,59,61.3,56.4,56,53.9,59.3,59.1,60.8,8.9,10,8.3,7.1,7.7,8.8,8.6,6.3,6.9,7,6.9,8.4,8.2,8.1,8.5,6.8,7.3,9.1,6.7,7.9,9798.2,10016,9894.3,10009.6,10125.3,9979.4,9916.7,9768.6,9906.3,10029.9,9862,9881.5,10064.8,9792.6,9962.1,10004.2,9940.8,9947.6,9944.2,9868.3
"124",124,1149.6,147.2,198723.2,56.9,57.8,53.3,54.3,62,60.8,53.7,53.1,59.8,55,56.1,61.1,59,61.3,56.4,56,53.9,59.3,59.1,60.7,8.1,9,8.1,6.5,7.3,8.5,8.2,6.1,6.3,6.4,6.4,7.8,7.8,7.1,7.9,6.8,7,8.6,6,7.3,9799,10017.2,9894.6,10010.2,10125.7,9979.7,9917.1,9768.8,9906.9,10030.6,9862.5,9882.1,10065.2,9793.6,9962.7,10004.2,9941.1,9948.1,9944.9,9869
"125",125,1149.4,137.4,198733.2,56.9,57.8,53.3,54.3,62,60.8,53.7,53.1,59.8,54.9,56.1,61.1,59,61.3,56.4,56,53.8,59.3,59.1,60.7,7.6,8.3,7.9,6.3,6.8,8.1,7.4,6,5.6,6.1,6,7.3,7.2,6.4,7.3,6.1,6.8,7.8,5.5,6.9,9799.5,10017.9,9894.8,10010.4,10126.2,9980.1,9917.9,9768.9,9907.6,10031,9862.9,9882.6,10065.8,9794.3,9963.3,10004.9,9941.4,9948.9,9945.4,9869.4
"126",126,1148.8,127.6,198743.6,56.9,57.8,53.3,54.2,62,60.7,53.7,53.1,59.8,54.8,56.1,61,59,61.3,56.3,55.9,53.8,59.3,59.1,60.7,7.2,7.7,7.1,6,6.3,7.8,6.9,5.6,4.7,6,5.3,6.7,6.5,5.8,6.9,5.7,6.1,7.2,5.3,6.8,9799.9,10018.5,9895.6,10010.8,10126.7,9980.5,9918.4,9769.3,9908.5,10031.2,9863.6,9883.3,10066.5,9794.9,9963.8,10005.4,9942.1,9949.5,9945.6,9869.5
"127",127,1148.6,119.3,198752.1,56.9,57.8,53.3,54.2,62,60.7,53.7,53.1,59.8,54.8,56.1,61,59,61.3,56.3,55.8,53.8,59.3,59.1,60.6,6.9,7.2,6.7,5.2,5.8,7.3,6.2,5.2,4,5.8,5,6.3,6.2,5.5,6.5,5.2,6,6.7,5,6.6,9800.2,10019,9896,10011.6,10127.2,9981,9919.1,9769.7,9909.2,10031.4,9863.9,9883.7,10066.8,9795.2,9964.2,10006,9942.2,9950,9945.9,9869.8
"128",128,1148.4,110.3,198761.3,56.9,57.8,53.2,54.2,62,60.7,53.7,53.1,59.8,54.8,56.1,61,59,61.2,56.3,55.8,53.8,59.3,59.1,60.6,6.6,6.9,6.3,5.1,5.5,6.1,5.3,4.8,3.9,5.3,4.4,5.8,5.9,4.7,6.2,4.6,5.5,6.4,4.9,6.1,9800.5,10019.3,9896.5,10011.7,10127.5,9982.2,9920,9770.1,9909.3,10031.9,9864.5,9884.2,10067.1,9796.1,9964.5,10006.6,9942.7,9950.3,9946,9870.3
"129",129,1148.4,103.1,198768.5,56.9,57.8,53.2,54.2,62,60.7,53.7,53.1,59.8,54.8,56.1,61,59,61.2,56.3,55.8,53.8,59.3,59.1,60.6,6.3,6.6,5.5,4.7,5.3,5.7,4.8,4.2,3.7,5,3.8,5.6,5.6,4.3,5.8,4.6,5.3,5.9,4.8,5.6,9800.8,10019.6,9897.3,10012.1,10127.7,9982.6,9920.5,9770.7,9909.5,10032.2,9865.1,9884.4,10067.4,9796.5,9964.9,10006.6,9942.9,9950.8,9946.1,9870.8
"130",130,1148.3,95.3,198776.4,56.9,57.8,53.2,54.2,62,60.7,53.7,53.1,59.8,54.8,56.1,61,59,61.2,56.3,55.8,53.8,59.3,59,60.6,5.6,5.6,5.2,4.4,5.1,5.2,4.4,4,3.7,4.2,3.8,5.2,5.3,3.9,5.3,4.2,5,5.5,4.4,5.3,9801.5,10020.6,9897.6,10012.4,10127.9,9983.1,9920.9,9770.9,9909.5,10033,9865.1,9884.8,10067.7,9796.9,9965.4,10007,9943.2,9951.2,9946.6,9871.1
"131",131,1148.1,88.8,198783.1,56.9,57.8,53.2,54.1,62,60.7,53.7,53.1,59.8,54.8,56.1,61,58.9,61.2,56.3,55.8,53.8,59.3,59,60.6,5.2,5.2,4.8,4.3,4.8,4.7,3.7,3.8,3.6,4.1,3.7,4.4,5,3.9,4.7,4.2,4.5,5.2,4.2,4.8,9801.9,10021,9898,10012.6,10128.2,9983.6,9921.6,9771.1,9909.6,10033.1,9865.2,9885.6,10068.1,9796.9,9966,10007,9943.7,9951.5,9946.8,9871.6
"132",132,1147.8,83.9,198788.3,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56.1,61,58.9,61.2,56.3,55.8,53.8,59.3,58.9,60.6,5,4.7,4.6,4.3,4.7,4.4,3.4,3.4,3.5,3.8,3.3,4.3,4.6,3.6,4.4,4,4.4,4.8,4,4.7,9802.2,10021.5,9898.2,10012.6,10128.3,9984,9921.9,9771.5,9909.7,10033.4,9865.6,9885.7,10068.5,9797.2,9966.3,10007.2,9943.8,9951.9,9947.1,9871.7
"133",133,1147.5,79.8,198792.7,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56.1,60.9,58.9,61.1,56.3,55.7,53.8,59.3,58.9,60.6,4.6,4.6,4.4,4.3,4.3,4,3.3,3.4,3.5,3.6,3.1,4.1,4.1,3.1,4.2,4,4.2,4.5,3.9,4.6,9802.6,10021.6,9898.4,10012.6,10128.7,9984.4,9922,9771.5,9909.7,10033.6,9865.8,9886,10069,9797.8,9966.5,10007.3,9944,9952.2,9947.2,9871.8
"134",134,1147.3,74.8,198797.9,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56.1,60.9,58.8,61.1,56.3,55.7,53.8,59.2,58.9,60.6,4.3,4.4,4.4,3.8,4,4,3,3.2,3.4,3.3,2.8,3.9,4.2,2.5,3.9,3.5,4.1,4.1,3.6,4.4,9802.9,10021.8,9898.4,10013.1,10129,9984.4,9922.3,9771.7,9909.8,10033.9,9866.1,9886.2,10069,9798.4,9966.8,10007.8,9944.1,9952.7,9947.5,9872
"135",135,1147.3,69.8,198802.9,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56.1,60.9,58.8,61.1,56.3,55.7,53.8,59.2,58.9,60.6,4.2,4.2,4,3.7,3.8,3.7,2.8,2.9,3.3,2.9,2.4,3.8,4.1,2.3,3.5,3.4,3.9,3.8,3.1,4,9803,10022,9898.8,10013.2,10129.2,9984.7,9922.5,9772,9909.9,10034.3,9866.5,9886.3,10069.1,9798.6,9967.2,10007.9,9944.3,9953,9948,9872.4
"136",136,1147.1,65.5,198807.4,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56,60.9,58.8,61.1,56.3,55.7,53.7,59.2,58.9,60.6,4,3.8,3.8,3.5,3.5,3.5,2.5,2.9,3,2.7,2.2,3.8,4,2,2.9,3,4,3.6,2.8,4,9803.2,10022.4,9899,10013.4,10129.5,9984.9,9922.8,9772,9910.2,10034.5,9866.8,9886.3,10069.2,9798.9,9967.8,10008.3,9944.3,9953.2,9948.3,9872.4
"137",137,1147,60.2,198812.8,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56,60.9,58.8,61.1,56.3,55.7,53.7,59.2,58.8,60.6,3.7,3.5,3.8,3.4,3.4,3.3,2.2,2.6,2.7,2.3,1.9,3.3,3.6,1.6,2.5,2.9,3.8,3.4,2.7,3.6,9803.5,10022.7,9899,10013.5,10129.6,9985.1,9923.1,9772.3,9910.5,10034.9,9867.1,9886.8,10069.6,9799.3,9968.2,10008.4,9944.5,9953.4,9948.5,9872.8
"138",138,1147,55.6,198817.4,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56,60.9,58.8,61.1,56.3,55.7,53.7,59.2,58.8,60.6,3.4,3.4,3.8,3.2,3.1,3,1.6,2.5,2.6,2.3,1.8,2.7,3.1,1.6,2.1,2.8,3.7,3.3,2.6,3,9803.8,10022.8,9899,10013.7,10129.9,9985.4,9923.7,9772.4,9910.6,10034.9,9867.2,9887.4,10070.1,9799.3,9968.6,10008.5,9944.6,9953.5,9948.6,9873.4
"139",139,1146.9,52.4,198820.7,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.8,56,60.9,58.7,61.1,56.3,55.7,53.7,59.2,58.8,60.6,3.3,3.2,3.8,2.9,2.7,2.8,1.4,2.4,2.5,2.2,1.7,2.6,3.2,1.3,2.1,2.3,3.6,3.1,2.5,2.8,9803.9,10023,9899,10014,10130.3,9985.6,9923.9,9772.5,9910.7,10035,9867.3,9887.5,10070.1,9799.6,9968.6,10009,9944.7,9953.7,9948.7,9873.6
"140",140,1146.7,48.5,198824.8,56.8,57.8,53.2,54.1,62,60.6,53.7,53.1,59.8,54.7,56,60.9,58.7,61,56.3,55.7,53.7,59.2,58.8,60.6,3,3.1,3.7,2.7,2.4,2.6,1.3,2.3,2.5,2.2,1.4,2.5,3.1,1.2,2,2.1,3.3,2.5,2,2.6,9804.2,10023.1,9899.1,10014.2,10130.6,9985.8,9924,9772.6,9910.7,10035.1,9867.6,9887.6,10070.2,9799.8,9968.7,10009.2,9945,9954.3,9949.2,9873.8
