"","time","S","I","R"
"1",1,996,10,0
"2",2,993.9,11.7,0.4
"3",3,991.9,12.8,1.3
"4",4,990.1,14.2,1.7
"5",5,987.4,16.2,2.4
"6",6,984,18.4,3.6
"7",7,980.1,21,4.9
"8",8,976.4,22.9,6.7
"9",9,973.1,24.2,8.7
"10",10,969.3,26.6,10.1
"11",11,964.3,29.4,12.3
"12",12,959,33,14
"13",13,954,35.8,16.2
"14",14,948.7,38.8,18.5
"15",15,942.6,43.5,19.9
"16",16,935.6,47.7,22.7
"17",17,928.3,51.6,26.1
"18",18,919.1,58.3,28.6
"19",19,910.4,63.1,32.5
"20",20,900.7,67.6,37.7
"21",21,889,74.3,42.7
"22",22,878.9,80.4,46.7
"23",23,865.6,88.8,51.6
"24",24,852.2,96.2,57.6
"25",25,837.7,104.1,64.2
"26",26,821,113,72
"27",27,805.2,122.2,78.6
"28",28,788.4,130.4,87.2
"29",29,768.5,139.7,97.8
"30",30,750.7,148.7,106.6
"31",31,731.4,158.9,115.7
"32",32,710.3,167.1,128.6
"33",33,690.9,174.4,140.7
"34",34,671.9,180.8,153.3
"35",35,652.6,189.9,163.5
"36",36,631.9,197.8,176.3
"37",37,610.5,209.4,186.1
"38",38,588.4,216.8,200.8
"39",39,566.2,225.7,214.1
"40",40,543.7,232.4,229.9
"41",41,522.4,238.9,244.7
"42",42,505.8,238.1,262.1
"43",43,486.2,240.9,278.9
"44",44,466.4,243.5,296.1
"45",45,445.4,244.5,316.1
"46",46,426.3,244.4,335.3
"47",47,409.2,246.7,350.1
"48",48,391.5,245.2,369.3
"49",49,375.6,243.5,386.9
"50",50,358.2,242.9,404.9
"51",51,343,243.7,419.3
"52",52,327.3,242.8,435.9
"53",53,313.9,239.7,452.4
"54",54,300.1,235,470.9
"55",55,291.4,226.3,488.3
"56",56,277.9,223.6,504.5
"57",57,267.2,218.9,519.9
"58",58,257.7,213.1,535.2
"59",59,248.3,206.4,551.3
"60",60,239.6,203,563.4
"61",61,232,198.2,575.8
"62",62,224.4,194,587.6
"63",63,217.3,188.1,600.6
"64",64,209.5,182.7,613.8
"65",65,202.5,176.9,626.6
"66",66,196.6,168.9,640.5
"67",67,191.1,161.5,653.4
"68",68,186.2,156.1,663.7
"69",69,182.5,149.8,673.7
"70",70,176.8,146.4,682.8
"71",71,172.5,141,692.5
"72",72,167.8,134.7,703.5
"73",73,164.8,128.3,712.9
"74",74,161,122,723
"75",75,157.7,117.7,730.6
"76",76,153.9,113,739.1
"77",77,150.8,107,748.2
"78",78,148.6,101.7,755.7
"79",79,145.8,97.3,762.9
"80",80,142.5,93.6,769.9
"81",81,140.3,89.5,776.2
"82",82,139.3,84.7,782
"83",83,137,81.6,787.4
"84",84,135.7,76.2,794.1
"85",85,133.5,73.2,799.3
"86",86,131.8,69.7,804.5
"87",87,130.3,64.7,811
"88",88,128.7,61.6,815.7
"89",89,127.8,58.3,819.9
"90",90,126.2,55.9,823.9
"91",91,124.4,53.5,828.1
"92",92,123.3,51.4,831.3
"93",93,121.5,49.3,835.2
"94",94,119.7,47.6,838.7
"95",95,118.6,44.8,842.6
"96",96,117.7,41.9,846.4
"97",97,116.3,39.6,850.1
"98",98,115.9,37.3,852.8
"99",99,115.4,35.6,855
"100",100,114.5,35,856.5
"101",101,113.6,33,859.4
"102",102,113.1,31.7,861.2
"103",103,112.6,30.1,863.3
"104",104,111.8,29,865.2
"105",105,111.5,26.8,867.7
"106",106,110.6,25.8,869.6
"107",107,110.1,24.7,871.2
"108",108,109.9,23.1,873
"109",109,109.3,21.7,875
"110",110,109.1,20.1,876.8
"111",111,108.4,19.4,878.2
"112",112,107.9,18,880.1
"113",113,107.7,16.5,881.8
"114",114,107.5,15.7,882.8
"115",115,106.5,15.2,884.3
"116",116,105.9,14.8,885.3
"117",117,105.7,13.6,886.7
"118",118,105.7,12.6,887.7
"119",119,105.7,11.8,888.5
"120",120,105.3,11.7,889
"121",121,105.1,11.3,889.6
"122",122,105.1,10.2,890.7
"123",123,104.9,9.8,891.3
"124",124,104.9,9.3,891.8
"125",125,104.9,8.6,892.5
"126",126,104.8,8.3,892.9
"127",127,104.7,7.9,893.4
"128",128,104.6,7.6,893.8
"129",129,104.5,6.8,894.7
"130",130,104.3,6.3,895.4
"131",131,104.2,5.8,896
"132",132,104.2,5.7,896.1
"133",133,103.9,5.6,896.5
"134",134,103.9,5.3,896.8
"135",135,103.9,5,897.1
"136",136,103.7,4.9,897.4
"137",137,103.6,4.6,897.8
"138",138,103.6,4.1,898.3
"139",139,103.6,3.6,898.8
"140",140,103.4,3.7,898.9
