"","time","S","I","R"
"1",1,3168980,32010,0
"2",2,3163293.9,35473.7,2222.4
"3",3,3157064.3,39270.7,4655
"4",4,3150149.5,43463.9,7376.6
"5",5,3142504.8,48115,10370.2
"6",6,3134106.6,53218.8,13664.6
"7",7,3124759.6,58903.6,17326.8
"8",8,3114542.5,65048.8,21398.7
"9",9,3103243.5,71874.9,25871.6
"10",10,3090841.9,79284.2,30863.9
"11",11,3077222.4,87393.6,36374
"12",12,3062219.2,96381.1,42389.7
"13",13,3045789.9,106179.5,49020.6
"14",14,3027866.8,116783.4,56339.8
"15",15,3008252.2,128318.4,64419.4
"16",16,2986829.7,140855.3,73305
"17",17,2963479.3,154472.3,83038.4
"18",18,2937976.2,169314.5,93699.3
"19",19,2910416.3,185245,105328.7
"20",20,2880546.2,202365.4,118078.4
"21",21,2848210.5,220765.4,132014.1
"22",22,2813263.5,240482.3,147244.2
"23",23,2775718.8,261435.1,163836.1
"24",24,2735540.6,283563.8,181885.6
"25",25,2692600.1,307011.1,201378.8
"26",26,2646976.1,331586.4,222427.5
"27",27,2598401.7,357272.7,245315.6
"28",28,2546990.6,384080.7,269918.7
"29",29,2493078.9,411545.2,296365.9
"30",30,2436547.7,439785.8,324656.5
"31",31,2377432.6,468659.3,354898.1
"32",32,2316258.6,497513.8,387217.6
"33",33,2252800.7,526590.7,421598.6
"34",34,2187692.3,555361.2,457936.5
"35",35,2121113.4,583669.4,496207.2
"36",36,2053190.2,611359.8,536440
"37",37,1984225.1,638259.9,578505
"38",38,1914815.2,663660.3,622514.5
"39",39,1845185.7,687554,668250.3
"40",40,1775690,709651.1,715648.9
"41",41,1706756.1,729670.7,764563.2
"42",42,1638608.4,747362.5,815019.1
"43",43,1571747.4,762587.6,866655
"44",44,1506232.5,775654.7,919102.8
"45",45,1442480.9,785850.6,972658.5
"46",46,1380643.8,793565.7,1026780.5
"47",47,1320829.3,798742,1081418.7
"48",48,1263309.3,801269.2,1136411.5
"49",49,1208114.6,801230.2,1191645.2
"50",50,1155255.2,798737.5,1246997.3
"51",51,1104886.5,794062.5,1302041
"52",52,1057005.3,787187.5,1356797.2
"53",53,1011604.6,778209.3,1411176.1
"54",54,968514.2,767810.4,1464665.4
"55",55,927815.5,755732.2,1517442.3
"56",56,889562.4,741911.8,1569515.8
"57",57,853468.5,726849.6,1620671.9
"58",58,819517.9,710711.7,1670760.4
"59",59,787746.1,693396.7,1719847.2
"60",60,757837.1,675539.8,1767613.1
"61",61,729937.6,656727.7,1814324.7
"62",62,703703,637681.2,1859605.8
"63",63,679211.1,618304.4,1903474.5
"64",64,656174.9,598559.1,1946256
"65",65,634683.2,578725.2,1987581.6
"66",66,614498.9,559086.8,2027404.3
"67",67,595633.9,539404,2065952.1
"68",68,578055.6,519793.5,2103140.9
"69",69,561518.8,500424.3,2139046.9
"70",70,546115.7,481271.2,2173603.1
"71",71,531621.1,462644,2206724.9
"72",72,518055.4,444240.2,2238694.4
"73",73,505412.4,426215.6,2269362
"74",74,493568.2,408679.3,2298742.5
"75",75,482488.2,391663.9,2326837.9
"76",76,472093,375048.5,2353848.5
"77",77,462304.9,358934.7,2379750.4
"78",78,453157.5,343400.4,2404432.1
"79",79,444520.9,328415.2,2428053.9
"80",80,436476.5,313804.1,2450709.4
"81",81,428919.5,299669.5,2472401
"82",82,421822,286064.2,2493103.8
"83",83,415148.7,272993.4,2512847.9
"84",84,408875.2,260479.3,2531635.5
"85",85,403003.1,248370.9,2549616
"86",86,397470.7,236827,2566692.3
"87",87,392242.1,225772.5,2582975.4
"88",88,387340.6,215138.8,2598510.6
"89",89,382723.8,204944.3,2613321.9
"90",90,378352.1,195118.4,2627519.5
"91",91,374260.7,185714,2641015.3
"92",92,370421.4,176694.5,2653874.1
"93",93,366770.6,168184.1,2666035.3
"94",94,363337.5,160073.3,2677579.2
"95",95,360116.8,152271.1,2688602.1
"96",96,357100.4,144783.9,2699105.7
"97",97,354240.5,137671.8,2709077.7
"98",98,351507,130925.5,2718557.5
"99",99,348986.4,124478.4,2727525.2
"100",100,346580.8,118326.8,2736082.4
"101",101,344312.5,112394,2744283.5
"102",102,342157.8,106842.6,2751989.6
"103",103,340123.1,101474.3,2759392.6
"104",104,338220.7,96420.4,2766348.9
"105",105,336382.7,91588,2773019.3
"106",106,334689.6,86943.5,2779356.9
"107",107,333045.2,82593.6,2785351.2
"108",108,331505.6,78440.2,2791044.2
"109",109,330066.5,74487.4,2796436.1
"110",110,328700.3,70733,2801556.7
"111",111,327390,67140,2806460
"112",112,326179.1,63694.6,2811116.3
"113",113,325005.1,60489.7,2815495.2
"114",114,323913.9,57406.8,2819669.3
"115",115,322875.6,54466.8,2823647.6
"116",116,321901.1,51682.5,2827406.4
"117",117,320978.1,49028.1,2830983.8
"118",118,320093.7,46540.3,2834356
"119",119,319253.4,44183.7,2837552.9
"120",120,318458.6,41933.8,2840597.6
"121",121,317715.9,39780.7,2843493.4
"122",122,317021.7,37722.4,2846245.9
"123",123,316343.5,35780.7,2848865.8
"124",124,315713.4,33959.4,2851317.2
"125",125,315126.5,32207.8,2853655.7
"126",126,314564.4,30532.4,2855893.2
"127",127,314033.3,28956.6,2858000.1
"128",128,313525.6,27465.1,2859999.3
"129",129,313050.7,26035.6,2861903.7
"130",130,312595.1,24701.4,2863693.5
"131",131,312165.5,23434.9,2865389.6
"132",132,311756,22223.4,2867010.6
"133",133,311369.3,21075.9,2868544.8
"134",134,311021.3,19976.7,2869992
"135",135,310681.6,18947.4,2871361
"136",136,310359,17970.2,2872660.8
"137",137,310044.4,17047.7,2873897.9
"138",138,309747.7,16178.4,2875063.9
"139",139,309473.6,15334.5,2876181.9
"140",140,309216,14537,2877237
